
=== 涨幅榜前20名股票 ===

股票代码          公司名称          市值(亿)                板块                    昨天收盘          今天收盘     涨跌幅(%)
  PROSF                                                                                     Prosus NV   1000.13                          Retail     2025-02-13 42.4    2025-02-14 45.46     7.23 
     MU                                                                         Micron Technology Inc   1108.82                  Semiconductors    2025-02-13 95.66    2025-02-14 99.52     4.04 
  BABAF                                                                     Alibaba Group Holding Ltd   3027.81                          Retail    2025-02-13 14.96    2025-02-14 15.45     3.28 
      C                                                                                 Citigroup Inc   1588.21                         Banking     2025-02-13 82.1    2025-02-14 84.61     3.06 
     DE                                                                                    Deere & Co   1307.88                       Machinery   2025-02-13 466.22   2025-02-14 480.22     3.00 
     BX                                                                                Blackstone Inc   1996.62              Financial Services   2025-02-13 160.48   2025-02-14 164.84     2.72 
   NVDA                                                                                   NVIDIA Corp  34004.36                  Semiconductors   2025-02-13 135.29   2025-02-14 138.85     2.63 
    ADI                                                                            Analog Devices Inc   1064.70                  Semiconductors   2025-02-13 209.34   2025-02-14 214.61     2.52 
   TMUS                                                                               T-Mobile US Inc   3092.02               Telecommunication   2025-02-13 265.08   2025-02-14 270.82     2.17 
   MELI                                                                              MercadoLibre Inc   1069.71                          Retail  2025-02-13 2066.15  2025-02-14 2109.99     2.12 
  AIQUF   L'Air Liquide Societe Anonyme pour l'Etude et l'Exploitation des Procedes Georges Claude SA   1004.61                       Chemicals   2025-02-13 179.52   2025-02-14 182.99     1.93 
     GS                                                                       Goldman Sachs Group Inc   2050.68              Financial Services   2025-02-13 648.95   2025-02-14 660.55     1.79 
   CSCO                                                                             Cisco Systems Inc   2583.62                  Communications    2025-02-13 63.84    2025-02-14 64.87     1.61 
     MS                                                                                Morgan Stanley   2238.53              Financial Services   2025-02-13 136.84   2025-02-14 138.95     1.54 
   NFLX                                                                                   Netflix Inc   4528.24                           Media  2025-02-13 1043.69   2025-02-14 1058.6     1.43 
  SBGSF                                                                         Schneider Electric SE   1383.42            Electrical Equipment   2025-02-13 255.12   2025-02-14 258.63     1.38 
    BAC                                                                          Bank of America Corp   3574.06                         Banking    2025-02-13 46.33    2025-02-14 46.96     1.36 
    DHR                                                                                  Danaher Corp   1490.05  Life Sciences Tools & Services   2025-02-13 203.59    2025-02-14 206.3     1.33 
