
=== 涨幅榜前20名股票 ===

股票代码                公司名称               市值(亿)              板块                  昨天收盘          今天收盘     涨跌幅(%)
   ABBV                   AbbVie Inc   3320.28        Biotechnology   2025-01-30 175.65   2025-01-31 183.9    4.70  
   AVGO                 Broadcom Inc  10574.32       Semiconductors   2025-01-30 215.66  2025-01-31 221.27    2.60  
  GOOGL                 Alphabet Inc  25146.75                Media   2025-01-30 200.87  2025-01-31 204.02    1.57  
   PLTR    Palantir Technologies Inc   1928.80           Technology    2025-01-30 81.22   2025-01-31 82.49    1.56  
   GOOG                 Alphabet Inc  25146.75                Media   2025-01-30 202.63   2025-01-31 205.6    1.47  
   AMZN               Amazon.com Inc  25180.30               Retail   2025-01-30 234.64  2025-01-31 237.68    1.30  
  CMCSA                 Comcast Corp   1289.35                Media    2025-01-30 33.25   2025-01-31 33.66    1.23  
   ANET          Arista Networks Inc   1473.10       Communications   2025-01-30 113.86  2025-01-31 115.23    1.20  
    APP                Applovin Corp   1256.30           Technology   2025-01-30 365.51  2025-01-31 369.59    1.12  
    ACN                Accenture PLC   2419.23           Technology   2025-01-30 380.75  2025-01-31 384.95    1.10  
   TSLA                    Tesla Inc  13432.50          Automobiles   2025-01-30 400.28   2025-01-31 404.6    1.08  
  EADSF                    Airbus SE   1316.43  Aerospace & Defense    2025-01-30 173.0  2025-01-31 174.44    0.83  
    LMT         Lockheed Martin Corp   1088.93  Aerospace & Defense   2025-01-30 459.65  2025-01-31 462.95    0.72  
   QCOM                 Qualcomm Inc   1951.46       Semiconductors   2025-01-30 171.93  2025-01-31 172.93    0.58  
   AMGN                    Amgen Inc   1539.82        Biotechnology   2025-01-30 284.02  2025-01-31 285.42    0.49  
   LRCX            Lam Research Corp   1078.95       Semiconductors    2025-01-30 80.73   2025-01-31 81.05    0.40  
   UBER        Uber Technologies Inc   1416.30          Road & Rail    2025-01-30 66.59   2025-01-31 66.85    0.39  
    BLK                BlackRock Inc   1674.89   Financial Services  2025-01-30 1071.52  2025-01-31 1075.5    0.37  
   NFLX                  Netflix Inc   4228.38                Media   2025-01-30 973.24  2025-01-31 976.76    0.36  
