
=== 涨幅榜前20名股票 ===

     股票代码                       公司名称  市值(亿)                            板块                           昨天收盘                           今天收盘  涨跌幅(%)
1188    STMEF                               STMicroelectronics NV    220.43                    Semiconductors  2025-01-23 24.600000381469727  2025-01-24 25.700000762939453       4.47
1898    PPRUF                                           Kering SA    303.03  Textiles, Apparel & Luxury Goods    2025-01-23 257.260009765625              2025-01-24 267.75       4.08
3705    PGPEF                                  Publicis Groupe SA    253.32                             Media  2025-01-23 101.05000305175781               2025-01-24 105.0       3.91
3095     LULU                             Lululemon Athletica Inc    507.64  Textiles, Apparel & Luxury Goods   2025-01-23 387.8500061035156   2025-01-24 400.0299987792969       3.14
3157    UPMKF                                     UPM-Kymmene Oyj    143.57                    Paper & Forest  2025-01-23 29.010000228881836    2025-01-24 29.8700008392334       2.96
2383       EL                          Estee Lauder Companies Inc    296.09                 Consumer products   2025-01-23 80.11000061035156    2025-01-24 82.4800033569336       2.96
989      SNAP                                            Snap Inc    182.65                             Media  2025-01-23 10.579999923706055  2025-01-24 10.890000343322754       2.93
2148      BAM                     BROOKFIELD ASSET MANAGEMENT LTD    265.72                Financial Services   2025-01-23 58.34000015258789  2025-01-24 59.959999084472656       2.78
3138      VFC                                             VF Corp    102.51  Textiles, Apparel & Luxury Goods    2025-01-23 25.6299991607666  2025-01-24 26.329999923706055       2.73

=== 市值超过200亿的涨幅榜前20名股票 ===

     股票代码                                            公司名称  市值(亿)                              板块                       昨天收盘                       今天收盘  涨跌幅(%)
1006    NDRBF                                  Nibe Industrier AB    889.09                          Building                 2025-01-23 3.5   2025-01-24 4.019999980926514      14.86
37      BAIDF                                           Baidu Inc    287.30                             Media  2025-01-23 10.281000137329102  2025-01-24 11.399999618530273      10.88
2158    BABAF                           Alibaba Group Holding Ltd   2024.65                            Retail  2025-01-23 10.612000465393066  2025-01-24 11.350000381469727       6.95
2019    MGDDF  Compagnie Generale des Etablissements Michelin SCA    235.86                   Auto Components   2025-01-23 34.84000015258789  2025-01-24 37.150001525878906       6.63
