
=== 涨幅榜前20名股票 ===

股票代码           公司名称          市值(亿)               板块                   昨天收盘          今天收盘     涨跌幅(%)
    LLY                                     Eli Lilly and Co  7456.02                   Pharmaceuticals   2025-01-23 766.6  2025-01-24 785.41     2.45 
    EDR                          Endeavor Group Holdings Inc   216.26                             Media    2025-01-23 30.9   2025-01-24 31.61     2.30 
  EADSF                                            Airbus SE  1319.12               Aerospace & Defense  2025-01-23 171.33  2025-01-24 175.25     2.29 

=== 市值超过200亿的涨幅榜前20名股票 ===

股票代码                       公司名称                      市值(亿)                 板块                    昨天收盘           今天收盘      涨跌幅(%)
  BAIDF                                            Baidu Inc    287.30                             Media   2025-01-23 10.28    2025-01-24 11.4    10.88 
  BABAF                            Alibaba Group Holding Ltd   2024.65                            Retail   2025-01-23 10.61   2025-01-24 11.35     6.95 
  MGDDF   Compagnie Generale des Etablissements Michelin SCA    235.86                   Auto Components   2025-01-23 34.84   2025-01-24 37.15     6.63 
    NEE                                   Nextera Energy Inc   1497.68                         Utilities   2025-01-23 69.23   2025-01-24 72.83     5.20 
   IBKR                        Interactive Brokers Group Inc    925.28                Financial Services  2025-01-23 208.55  2025-01-24 218.99     5.01 
  NETTF                                          NetEase Inc    628.03                             Media   2025-01-23 18.11   2025-01-24 18.97     4.73 
  PPRUF                                            Kering SA    303.03  Textiles, Apparel & Luxury Goods  2025-01-23 257.26  2025-01-24 267.75     4.08 
  PGPEF                                   Publicis Groupe SA    253.32                             Media  2025-01-23 101.05   2025-01-24 105.0     3.91 
   LULU                              Lululemon Athletica Inc    507.64  Textiles, Apparel & Luxury Goods  2025-01-23 387.85  2025-01-24 400.03     3.14 
   CPNG                                          Coupang Inc    405.82                            Retail    2025-01-23 22.0   2025-01-24 22.56     2.55 
     BN                                      Brookfield Corp    921.22                Financial Services   2025-01-23 59.57   2025-01-24 61.07     2.52 
    LLY                                     Eli Lilly and Co   7456.02                   Pharmaceuticals   2025-01-23 766.6  2025-01-24 785.41     2.45 
    EDR                          Endeavor Group Holdings Inc    216.26                             Media    2025-01-23 30.9   2025-01-24 31.61     2.30 
  EADSF                                            Airbus SE   1319.12               Aerospace & Defense  2025-01-23 171.33  2025-01-24 175.25     2.29 
