
=== 涨幅榜前20名股票 ===

股票代码                 公司名称                 市值(亿)                板块                    昨天收盘          今天收盘     涨跌幅(%)
  BABAF              Alibaba Group Holding Ltd   2156.37                            Retail   2025-01-29 12.23    2025-01-30 12.9     5.52 
   ORCL                            Oracle Corp   4531.63                        Technology  2025-01-29 162.02  2025-01-30 170.38     5.16 
   AVGO                           Broadcom Inc   9672.36                    Semiconductors  2025-01-29 206.35  2025-01-30 215.66     4.51 
  ASMLF                        ASML Holding NV   2506.66                    Semiconductors  2025-01-29 710.75  2025-01-30 739.85     4.09 
   AMAT                  Applied Materials Inc   1424.50                    Semiconductors  2025-01-29 175.28  2025-01-30 181.72     3.67 
     BA                              Boeing Co   1299.28               Aerospace & Defense  2025-01-29 173.66  2025-01-30 179.53     3.38 
     GE                    General Electric Co   2154.85               Aerospace & Defense   2025-01-29 199.1  2025-01-30 205.57     3.25 
     MA                         Mastercard Inc   5037.06                Financial Services   2025-01-29 548.8  2025-01-30 566.01     3.14 
    RTX                               RTX Corp   1665.50               Aerospace & Defense  2025-01-29 125.13  2025-01-30 128.98     3.08 
    ETN                  Eaton Corporation PLC   1255.16              Electrical Equipment   2025-01-29 317.6   2025-01-30 327.1     2.99 
   TSLA                              Tesla Inc  12490.34                       Automobiles   2025-01-29 389.1  2025-01-30 400.28     2.87 
  GOOGL                           Alphabet Inc  24018.15                             Media  2025-01-29 195.41  2025-01-30 200.87     2.79 
    TXN                  Texas Instruments Inc   1644.45                    Semiconductors  2025-01-29 180.27  2025-01-30 185.27     2.77 
   GOOG                           Alphabet Inc  24018.15                             Media  2025-01-29 197.18  2025-01-30 202.63     2.76 
    LLY                       Eli Lilly and Co   7633.26                   Pharmaceuticals  2025-01-29 804.08  2025-01-30 823.23     2.38 
  LRLCF                             L'Oreal SA   1953.10                 Consumer products  2025-01-29 376.23   2025-01-30 385.0     2.33 
    NKE                               Nike Inc   1132.72  Textiles, Apparel & Luxury Goods   2025-01-29 76.58   2025-01-30 78.33     2.29 
