
=== 涨幅榜前20名股票 ===

股票代码                    公司名称                    市值(亿)               板块                   昨天收盘          今天收盘     涨跌幅(%)
    AR             Antero Resources Corp   116.13                            Energy    2025-01-31 37.32    2025-02-03 38.33     2.71 
   THC             Tenet Healthcare Corp   133.98                       Health Care   2025-01-31 140.89   2025-02-03 144.64     2.66 
  COST             Costco Wholesale Corp  4349.68                            Retail   2025-01-31 979.88  2025-02-03 1005.83     2.65 
   LNG               Cheniere Energy Inc   501.79                            Energy   2025-01-31 223.65   2025-02-03 229.56     2.64 
   BKR                   Baker Hughes Co   456.96                            Energy    2025-01-31 46.18     2025-02-03 47.4     2.64 

=== 市值超过200亿的涨幅榜前20名股票 ===

股票代码            公司名称            市值(亿)         板块              昨天收盘            今天收盘      涨跌幅(%)
  IDXX           IDEXX Laboratories Inc   345.59         Health Care   2025-01-31 422.05   2025-02-03 469.04    11.13 
    VG               Venture Global Inc   494.80              Energy    2025-01-31 20.45    2025-02-03 21.44     4.84 
  MSTR                Microstrategy Inc   841.24          Technology   2025-01-31 334.79   2025-02-03 347.09     3.67 
  ABBV                       AbbVie Inc  3249.77       Biotechnology    2025-01-31 183.9   2025-02-03 190.14     3.39 
  IBKR    Interactive Brokers Group Inc   918.73  Financial Services   2025-01-31 217.44   2025-02-03 223.48     2.78 
   TPL          Texas Pacific Land Corp   298.02              Energy  2025-01-31 1297.17   2025-02-03 1332.8     2.75 
    KR                        Kroger Co   446.03              Retail    2025-01-31 61.64    2025-02-03 63.33     2.74 
  COST            Costco Wholesale Corp  4349.68              Retail   2025-01-31 979.88  2025-02-03 1005.83     2.65 
   LNG              Cheniere Energy Inc   501.79              Energy   2025-01-31 223.65   2025-02-03 229.56     2.64 
   BKR                  Baker Hughes Co   456.96              Energy    2025-01-31 46.18     2025-02-03 47.4     2.64 
  TRGP             Targa Resources Corp   429.15              Energy    2025-01-31 196.8   2025-02-03 201.73     2.51 
   AZO                     Autozone Inc   562.24              Retail  2025-01-31 3350.21   2025-02-03 3432.2     2.45 
   VLO               Valero Energy Corp   421.06              Energy    2025-01-31 133.0   2025-02-03 136.18     2.39 
   AJG        Arthur J. Gallagher & Co.   753.95           Insurance   2025-01-31 301.82    2025-02-03 309.0     2.38 
   ELV              Elevance Health Inc   917.72         Health Care    2025-01-31 395.7    2025-02-03 405.1     2.38 
   NUE                       Nucor Corp   301.57     Metals & Mining   2025-01-31 128.43    2025-02-03 131.3     2.23 
  TMUS                  T-Mobile US Inc  2703.59   Telecommunication   2025-01-31 232.97    2025-02-03 238.1     2.20 
     T                         AT&T Inc  1702.70   Telecommunication    2025-01-31 23.73    2025-02-03 24.25     2.19 
   CEG        Constellation Energy Corp   938.45           Utilities   2025-01-31 299.98   2025-02-03 306.31     2.11 
   EQT                         EQT Corp   305.02              Energy    2025-01-31 51.12    2025-02-03 52.18     2.07 

=== 市值超过1000亿的涨幅榜前20名股票 ===

股票代码                公司名称               市值(亿)           板块               昨天收盘            今天收盘      涨跌幅(%)
  ABBV                              AbbVie Inc   3249.77          Biotechnology   2025-01-31 183.9   2025-02-03 190.14    3.39  
  COST                   Costco Wholesale Corp   4349.68                 Retail  2025-01-31 979.88  2025-02-03 1005.83    2.65  
  TMUS                         T-Mobile US Inc   2703.59      Telecommunication  2025-01-31 232.97    2025-02-03 238.1    2.20  
     T                                AT&T Inc   1702.70      Telecommunication   2025-01-31 23.73    2025-02-03 24.25    2.19  
   IBM    International Business Machines Corp   2364.32             Technology   2025-01-31 255.7   2025-02-03 260.73    1.97  
  VRTX              Vertex Pharmaceuticals Inc   1188.96          Biotechnology  2025-01-31 461.68   2025-02-03 470.37    1.88  
   LIN                               Linde PLC   2124.24              Chemicals  2025-01-31 446.12   2025-02-03 454.21    1.81  
   BMY                 Bristol-Myers Squibb Co   1195.61        Pharmaceuticals   2025-01-31 58.95    2025-02-03 59.95    1.70  
    PG                     Procter & Gamble Co   3892.22      Consumer products  2025-01-31 165.99   2025-02-03 168.76    1.67  
    MA                          Mastercard Inc   5097.56     Financial Services  2025-01-31 555.43   2025-02-03 563.95    1.53  
  PLTR               Palantir Technologies Inc   1879.14             Technology   2025-01-31 82.49    2025-02-03 83.74    1.52  
    VZ              Verizon Communications Inc   1658.17      Telecommunication   2025-01-31 39.39    2025-02-03 39.98    1.50  
   ADP           Automatic Data Processing Inc   1234.64  Professional Services  2025-01-31 303.01   2025-02-03 307.32    1.42  
  GILD                     Gilead Sciences Inc   1211.37          Biotechnology    2025-01-31 97.2    2025-02-03 98.38    1.21  
  AMGN                               Amgen Inc   1534.23          Biotechnology  2025-01-31 285.42   2025-02-03 288.87    1.21  
  META                      Meta Platforms Inc  17394.91                  Media  2025-01-31 689.18   2025-02-03 697.46    1.20  
     V                                Visa Inc   6702.81     Financial Services   2025-01-31 341.8   2025-02-03 345.82    1.18  
  ISRG                  Intuitive Surgical Inc   2036.92            Health Care  2025-01-31 571.88   2025-02-03 578.55    1.17  
   MMC          Marsh & McLennan Companies Inc   1065.14              Insurance  2025-01-31 216.88   2025-02-03 219.29    1.11  
   UNH                  Unitedhealth Group Inc   4992.45            Health Care  2025-01-31 542.49   2025-02-03 548.18    1.05  
