
=== 涨幅榜前20名股票 ===

股票代码                公司名称                市值(亿)               板块                   昨天收盘          今天收盘     涨跌幅(%)
      D                   Dominion Energy Inc   468.14           Utilities   2025-01-24 53.48   2025-01-27 55.73    4.21  
    JNJ                     Johnson & Johnson  3681.50     Pharmaceuticals  2025-01-24 146.82  2025-01-27 152.89    4.13  
    LEN                           Lennar Corp   371.96   Consumer products  2025-01-24 132.36  2025-01-27 137.82    4.13  
     CI                           Cigna Group   850.53         Health Care  2025-01-24 293.64  2025-01-27 305.72    4.11  
   ACGL                Arch Capital Group Ltd   363.15           Insurance   2025-01-24 92.76   2025-01-27 96.52    4.05  
    CRM                        Salesforce Inc  3321.75          Technology  2025-01-24 333.88   2025-01-27 347.1    3.96  
   ABBV                            AbbVie Inc  3126.07       Biotechnology   2025-01-24 170.3   2025-01-27 176.9    3.88  
    ALL                         Allstate Corp   511.57           Insurance  2025-01-24 186.07  2025-01-27 193.19    3.83  
     CL                  Colgate-Palmolive Co   745.20   Consumer products   2025-01-24 87.88   2025-01-27 91.21    3.79  
    TRV               Travelers Companies Inc   569.84           Insurance  2025-01-24 241.86  2025-01-27 251.01    3.78  
    PEP                           PepsiCo Inc  2121.23           Beverages  2025-01-24 149.12  2025-01-27 154.61    3.68  
     CB                             Chubb Ltd  1114.53           Insurance   2025-01-24 266.7  2025-01-27 276.49    3.67  

=== 市值超过1000亿的涨幅榜前20名股票 ===

股票代码               公司名称               市值(亿)                 板块                    昨天收盘           今天收盘      涨跌幅(%)
      T                              AT&T Inc   1732.11                 Telecommunication   2025-01-24 22.72   2025-01-27 24.14    6.25  
    JNJ                     Johnson & Johnson   3681.50                   Pharmaceuticals  2025-01-24 146.82  2025-01-27 152.89    4.13  
    CRM                        Salesforce Inc   3321.75                        Technology  2025-01-24 333.88   2025-01-27 347.1    3.96  
   ABBV                            AbbVie Inc   3126.07                     Biotechnology   2025-01-24 170.3   2025-01-27 176.9    3.88  
    PEP                           PepsiCo Inc   2121.23                         Beverages  2025-01-24 149.12  2025-01-27 154.61    3.68  
     CB                             Chubb Ltd   1114.53                         Insurance   2025-01-24 266.7  2025-01-27 276.49    3.67  
    ABT                   Abbott Laboratories   2244.91                       Health Care  2025-01-24 125.03  2025-01-27 129.43    3.52  
    PGR                      Progressive Corp   1446.43                         Insurance  2025-01-24 238.82  2025-01-27 246.91    3.39  
     PG                   Procter & Gamble Co   3978.28                 Consumer products  2025-01-24 164.12  2025-01-27 169.66    3.38  
   AAPL                             Apple Inc  34566.06                        Technology  2025-01-24 222.78  2025-01-27 229.86    3.18  
     KO                          Coca-Cola Co   2752.25                         Beverages   2025-01-24 61.92   2025-01-27 63.87    3.15  
    ACN                         Accenture PLC   2334.32                        Technology  2025-01-24 362.41  2025-01-27 373.15    2.96  
    PFE                            Pfizer Inc   1522.15                   Pharmaceuticals   2025-01-24 26.09   2025-01-27 26.86    2.95  
    LLY                      Eli Lilly and Co   7672.08                   Pharmaceuticals  2025-01-24 785.41  2025-01-27 808.17    2.90  
  LVMHF   LVMH Moet Hennessy Louis Vuitton SE   3668.62  Textiles, Apparel & Luxury Goods   2025-01-24 772.0  2025-01-27 794.25    2.88  
     VZ            Verizon Communications Inc   1710.79                 Telecommunication   2025-01-24 39.54   2025-01-27 40.64    2.78  
   AMGN                             Amgen Inc   1520.95                     Biotechnology  2025-01-24 275.42  2025-01-27 282.95    2.73  
    NKE                              Nike Inc   1117.93  Textiles, Apparel & Luxury Goods   2025-01-24 73.57   2025-01-27 75.58    2.73  
   COST                 Costco Wholesale Corp   4284.73                            Retail  2025-01-24 939.68  2025-01-27 965.25    2.72  
    MCD                       McDonald's Corp   2100.34     Hotels, Restaurants & Leisure  2025-01-24 285.46  2025-01-27 293.09    2.67  
