
=== 涨幅榜前20名股票 ===

股票代码                公司名称                市值(亿)              板块                   昨天收盘          今天收盘     涨跌幅(%)
  BAIDF                       Baidu Inc   319.42                             Media    2025-02-11 10.5    2025-02-12 11.9    13.33 
    GFS             GlobalFoundries Inc   222.76                    Semiconductors    2025-02-11 40.1   2025-02-12 43.55     8.60 
  HINKF                     Heineken NV   384.26                         Beverages   2025-02-11 71.74   2025-02-12 77.52     8.06 
   GILD             Gilead Sciences Inc  1198.16                     Biotechnology   2025-02-11 96.14  2025-02-12 103.31     7.46 
   INTC                      Intel Corp   908.00                    Semiconductors   2025-02-11 20.97   2025-02-12 22.48     7.20 
  PPRUF                       Kering SA   303.28  Textiles, Apparel & Luxury Goods   2025-02-11 260.0   2025-02-12 277.4     6.69 
   HOOD           Robinhood Markets Inc   471.51                Financial Services   2025-02-11 53.34   2025-02-12 55.91     4.82 
   DKNG                  Draftkings Inc   211.83     Hotels, Restaurants & Leisure   2025-02-11 43.44   2025-02-12 45.44     4.60 
   ABNB                      Airbnb Inc   852.82     Hotels, Restaurants & Leisure  2025-02-11 134.52  2025-02-12 140.52     4.46 
     ON           ON Semiconductor Corp   201.99                    Semiconductors   2025-02-11 47.93   2025-02-12 50.06     4.44 
   PLTR       Palantir Technologies Inc  2565.51                        Technology  2025-02-11 112.62  2025-02-12 117.39     4.24 
   NXPI           NXP Semiconductors NV   536.19                    Semiconductors  2025-02-11 210.97  2025-02-12 219.79     4.18 
   DASH                    DoorDash Inc   802.09     Hotels, Restaurants & Leisure  2025-02-11 193.09  2025-02-12 200.89     4.04 
   IBKR   Interactive Brokers Group Inc   935.76                Financial Services  2025-02-11 221.47   2025-02-12 230.2     3.94 
     BA                       Boeing Co  1353.43               Aerospace & Defense  2025-02-11 180.44  2025-02-12 186.25     3.22 
   UBER           Uber Technologies Inc  1620.34                       Road & Rail   2025-02-11 76.95   2025-02-12 79.35     3.12 
   COIN             Coinbase Global Inc   668.18                Financial Services   2025-02-11 266.9   2025-02-12 274.9     3.00 
    CME                   CME Group Inc   871.14                Financial Services  2025-02-11 241.74  2025-02-12 248.96     2.99 
    NEM             Newmont Corporation   517.88                   Metals & Mining   2025-02-11 45.49   2025-02-12 46.81     2.90 

=== 市值超过1000亿的涨幅榜前20名股票 ===

股票代码               公司名称               市值(亿)                 板块                     昨天收盘            今天收盘      涨跌幅(%)
   GILD                   Gilead Sciences Inc   1198.16                     Biotechnology    2025-02-11 96.14   2025-02-12 103.31    7.46  
   PLTR             Palantir Technologies Inc   2565.51                        Technology   2025-02-11 112.62   2025-02-12 117.39    4.24  
     BA                             Boeing Co   1353.43               Aerospace & Defense   2025-02-11 180.44   2025-02-12 186.25    3.22  
   UBER                 Uber Technologies Inc   1620.34                       Road & Rail    2025-02-11 76.95    2025-02-12 79.35    3.12  
   SPOT                 Spotify Technology SA   1251.19                             Media   2025-02-11 623.15   2025-02-12 640.59    2.80  
  BABAF             Alibaba Group Holding Ltd   2558.17                            Retail     2025-02-11 14.4    2025-02-12 14.78    2.64  
   BKNG                  Booking Holdings Inc   1620.85     Hotels, Restaurants & Leisure  2025-02-11 4897.32  2025-02-12 5018.11    2.47  
   TSLA                             Tesla Inc  10566.26                       Automobiles    2025-02-11 328.5   2025-02-12 336.51    2.44  
  HESAF              Hermes International SCA   2876.65  Textiles, Apparel & Luxury Goods  2025-02-11 2836.05   2025-02-12 2900.0    2.25  
   NFLX                           Netflix Inc   4312.13                             Media  2025-02-11 1008.08  2025-02-12 1027.31    1.91  
   AAPL                             Apple Inc  34944.35                        Technology   2025-02-11 232.62   2025-02-12 236.87    1.83  
   SBUX                        Starbucks Corp   1261.19     Hotels, Restaurants & Leisure   2025-02-11 111.03   2025-02-12 113.04    1.81  
  LVMHF   LVMH Moet Hennessy Louis Vuitton SE   3422.88  Textiles, Apparel & Luxury Goods    2025-02-11 710.0    2025-02-12 722.0    1.69  
     KO                          Coca-Cola Co   2912.07                         Beverages     2025-02-11 67.6    2025-02-12 68.71    1.64  
    APP                         Applovin Corp   1259.31                        Technology   2025-02-11 375.25   2025-02-12 380.32    1.35  
     PM       Philip Morris International Inc   2300.88                           Tobacco   2025-02-11 147.98   2025-02-12 149.89    1.29  
    NKE                              Nike Inc   1055.22  Textiles, Apparel & Luxury Goods    2025-02-11 71.34    2025-02-12 72.26    1.29  
  EADSF                             Airbus SE   1323.55               Aerospace & Defense   2025-02-11 173.75    2025-02-12 176.0    1.29  
    LLY                      Eli Lilly and Co   8211.58                   Pharmaceuticals    2025-02-11 865.0   2025-02-12 872.97    0.92  
   ADBE                             Adobe Inc   1997.29                        Technology   2025-02-11 458.82   2025-02-12 462.76    0.86  
