nohup: ignoring input
- LCBGS: No data found for this date range, symbol may be delisted
- TTEC: No data found for this date range, symbol may be delisted
- TRUBF: No data found for this date range, symbol may be delisted
- BUENF: No data found for this date range, symbol may be delisted
- GALNF: No data found for this date range, symbol may be delisted
- ASCN: No data found for this date range, symbol may be delisted
- ESHDF: No data found for this date range, symbol may be delisted
- FGI: No data found for this date range, symbol may be delisted
- SUCEF: No data found for this date range, symbol may be delisted
- MRMRF: No data found for this date range, symbol may be delisted
- GTHKF: No data found for this date range, symbol may be delisted
- ABMC: No data found for this date range, symbol may be delisted
- NEXD: No data found for this date range, symbol may be delisted
- XEPRF: No data found for this date range, symbol may be delisted
- LFLS: No data found for this date range, symbol may be delisted
- YAAS: No data found for this date range, symbol may be delisted
- CFG: No data found for this date range, symbol may be delisted
- XRAPF: No data found for this date range, symbol may be delisted
- RSEYS: No data found for this date range, symbol may be delisted
- SKK: No data found for this date range, symbol may be delisted
- DKLRF: No data found for this date range, symbol may be delisted
- BKTLF: No data found for this date range, symbol may be delisted
- BRUZF: No data found for this date range, symbol may be delisted
- MNDO: No data found for this date range, symbol may be delisted
- RYPPF: No data found for this date range, symbol may be delisted
- VANI: No data found for this date range, symbol may be delisted
- QEBR: No data found for this date range, symbol may be delisted
- CNCEF: No data found for this date range, symbol may be delisted
- ORLA: No data found for this date range, symbol may be delisted
- FSEI: No data found for this date range, symbol may be delisted
- SPRZ: No data found for this date range, symbol may be delisted
- RZLV: No data found for this date range, symbol may be delisted
- JMDCF: No data found for this date range, symbol may be delisted
- PSNCS: No data found for this date range, symbol may be delisted
- GXUSF: No data found for this date range, symbol may be delisted
- CNRC: No data found for this date range, symbol may be delisted
- CMPGF: No data found for this date range, symbol may be delisted
- ENFD: No data found for this date range, symbol may be delisted
- HUSIF: No data found for this date range, symbol may be delisted
- IHCPF: No data found for this date range, symbol may be delisted
- RMOOS: No data found for this date range, symbol may be delisted
- TRRGF: No data found for this date range, symbol may be delisted
- BIO: No data found for this date range, symbol may be delisted
- PRSI: No data found for this date range, symbol may be delisted
- ATAI: No data found for this date range, symbol may be delisted
- SAMG: No data found for this date range, symbol may be delisted
- BKTPF: No data found for this date range, symbol may be delisted
- JLRRF: No data found for this date range, symbol may be delisted
- PYCEF: No data found for this date range, symbol may be delisted
- MDPEF: No data found for this date range, symbol may be delisted
- EXMT: No data found for this date range, symbol may be delisted
- MAORF: No data found for this date range, symbol may be delisted
- GDRX: No data found for this date range, symbol may be delisted
- IPKL: No data found for this date range, symbol may be delisted
- PPAAF: No data found for this date range, symbol may be delisted
- SBFFF: No data found for this date range, symbol may be delisted
- JUSHF: No data found for this date range, symbol may be delisted
- FOLGF: No data found for this date range, symbol may be delisted
- SGUJ: No data found for this date range, symbol may be delisted
- EMCG: No data found for this date range, symbol may be delisted
- EJPRF: No data found for this date range, symbol may be delisted
- ASTA: No data found for this date range, symbol may be delisted
- AXMP: No data found for this date range, symbol may be delisted
- ELTTF: No data found for this date range, symbol may be delisted
- AUVGF: No data found for this date range, symbol may be delisted
- TLPPF: No data found for this date range, symbol may be delisted
- OPUS: No data found for this date range, symbol may be delisted
- SUUIF: No data found for this date range, symbol may be delisted
- SNFRF: No data found for this date range, symbol may be delisted
- BCAB: No data found for this date range, symbol may be delisted
- FBPI: No data found for this date range, symbol may be delisted
- DUOL: No data found for this date range, symbol may be delisted
- PNGM: No data found for this date range, symbol may be delisted
- TMNSF: No data found for this date range, symbol may be delisted
- SHKAF: No data found for this date range, symbol may be delisted
- PSRHF: No data found for this date range, symbol may be delisted
- ITRO: No data found for this date range, symbol may be delisted
- TSCDF: No data found for this date range, symbol may be delisted
- INCAF: No data found for this date range, symbol may be delisted
- PNSPF: No data found for this date range, symbol may be delisted
- CGBS: No data found for this date range, symbol may be delisted
- REAVS: No data found for this date range, symbol may be delisted
- RDRIF: No data found for this date range, symbol may be delisted
- MU: No data found for this date range, symbol may be delisted
- ASEKF: No data found for this date range, symbol may be delisted
- VFC: No data found for this date range, symbol may be delisted
- FBRKF: No data found for this date range, symbol may be delisted
- ALLR: No data found for this date range, symbol may be delisted
- LNDAF: No data found for this date range, symbol may be delisted
- SBSAA: No data found for this date range, symbol may be delisted
- CNBB: No data found for this date range, symbol may be delisted
- LNDLF: No data found for this date range, symbol may be delisted
- VIPK: No data found for this date range, symbol may be delisted
- GIBX: No data found for this date range, symbol may be delisted
- KYCCF: No data found for this date range, symbol may be delisted
- SHPPF: No data found for this date range, symbol may be delisted
- NNCHF: No data found for this date range, symbol may be delisted
- UFCP: No data found for this date range, symbol may be delisted
- PYNKF: No data found for this date range, symbol may be delisted
- CNCM: No data found for this date range, symbol may be delisted
- MRVL: No data found for this date range, symbol may be delisted
- BETRF: No data found for this date range, symbol may be delisted
- TNIPF: No data found for this date range, symbol may be delisted
- FRCEF: No data found for this date range, symbol may be delisted
- GTGP: No data found for this date range, symbol may be delisted
- MTYFF: No data found for this date range, symbol may be delisted
- TRIRF: No data found for this date range, symbol may be delisted
- OEDVQ: No data found for this date range, symbol may be delisted
- GTMIF: No data found for this date range, symbol may be delisted
- LOGQ: No data found for this date range, symbol may be delisted
- TRYIF: No data found for this date range, symbol may be delisted
- NAUH: No data found for this date range, symbol may be delisted
- STMEF: No data found for this date range, symbol may be delisted
- APQT: No data found for this date range, symbol may be delisted
- DRDB: No data found for this date range, symbol may be delisted
- CADNF: No data found for this date range, symbol may be delisted
- PTPLF: No data found for this date range, symbol may be delisted
- BONXF: No data found for this date range, symbol may be delisted
- HUMRF: No data found for this date range, symbol may be delisted
- GYOG: No data found for this date range, symbol may be delisted
- VLDX: No data found for this date range, symbol may be delisted
- SSVRF: No data found for this date range, symbol may be delisted
- EGOXF: No data found for this date range, symbol may be delisted
- BSTO: No data found for this date range, symbol may be delisted
- TKMEF: No data found for this date range, symbol may be delisted
- DECXF: No data found for this date range, symbol may be delisted
- NMMCF: No data found for this date range, symbol may be delisted
- NCEN: No data found for this date range, symbol may be delisted
- TXMD: No data found for this date range, symbol may be delisted
- DCHLF: No data found for this date range, symbol may be delisted
- RSOTF: No data found for this date range, symbol may be delisted
- TRVI: No data found for this date range, symbol may be delisted
- IMO: No data found for this date range, symbol may be delisted
- HTLM: No data found for this date range, symbol may be delisted
- ZCMD: No data found for this date range, symbol may be delisted
- RSPI: No data found for this date range, symbol may be delisted
- BCTX: No data found for this date range, symbol may be delisted
- EVTC: No data found for this date range, symbol may be delisted
- BFRG: No data found for this date range, symbol may be delisted
- FCCO: No data found for this date range, symbol may be delisted
- QSJC: No data found for this date range, symbol may be delisted
- TECFF: No data found for this date range, symbol may be delisted
- SPRB: No data found for this date range, symbol may be delisted
- YQAI: No data found for this date range, symbol may be delisted
- HINOF: No data found for this date range, symbol may be delisted
- INVE: No data found for this date range, symbol may be delisted
- CAZGF: No data found for this date range, symbol may be delisted
- AKRBF: No data found for this date range, symbol may be delisted
- FRTG: No data found for this date range, symbol may be delisted
- EREPF: No data found for this date range, symbol may be delisted
- SMBK: No data found for this date range, symbol may be delisted
- LSHYS: No data found for this date range, symbol may be delisted
- MERR: No data found for this date range, symbol may be delisted
- HBBHF: No data found for this date range, symbol may be delisted
- PLL: No data found for this date range, symbol may be delisted
- NNMTF: No data found for this date range, symbol may be delisted
- CNX: No data found for this date range, symbol may be delisted
- STRS: No data found for this date range, symbol may be delisted
- KRYPF: No data found for this date range, symbol may be delisted
- DRUNF: No data found for this date range, symbol may be delisted
- BDCC: No data found for this date range, symbol may be delisted
- DSY: No data found for this date range, symbol may be delisted
- GMYBF: No data found for this date range, symbol may be delisted
- RFL: No data found for this date range, symbol may be delisted
- SRPT: No data found for this date range, symbol may be delisted
- HSTA: No data found for this date range, symbol may be delisted
- TCNRF: No data found for this date range, symbol may be delisted
- BOTRF: No data found for this date range, symbol may be delisted
- CECBF: No data found for this date range, symbol may be delisted
- CNTX: No data found for this date range, symbol may be delisted
- AUERF: No data found for this date range, symbol may be delisted
- JGRRF: No data found for this date range, symbol may be delisted
- REGHF: No data found for this date range, symbol may be delisted
- DSKIF: No data found for this date range, symbol may be delisted
- IMUC: No data found for this date range, symbol may be delisted
- ICHMF: No data found for this date range, symbol may be delisted
- RM: No data found for this date range, symbol may be delisted
- SEM: No data found for this date range, symbol may be delisted
- CNGT: No data found for this date range, symbol may be delisted
- CMPVF: No data found for this date range, symbol may be delisted
- YYAI: No data found for this date range, symbol may be delisted
- PDRDF: No data found for this date range, symbol may be delisted
- NCBDF: No data found for this date range, symbol may be delisted
- ACM: No data found for this date range, symbol may be delisted
- CGXYF: No data found for this date range, symbol may be delisted
- AMLLF: No data found for this date range, symbol may be delisted
- PESI: No data found for this date range, symbol may be delisted
- MPZAF: No data found for this date range, symbol may be delisted
- TMRAF: No data found for this date range, symbol may be delisted
- AIHLF: No data found for this date range, symbol may be delisted
- SNDKV: No data found for this date range, symbol may be delisted
- DOCU: No data found for this date range, symbol may be delisted
- PTRRF: No data found for this date range, symbol may be delisted
- RDOIF: No data found for this date range, symbol may be delisted
- DCYHF: No data found for this date range, symbol may be delisted
- RNGR: No data found for this date range, symbol may be delisted
- ANSLF: No data found for this date range, symbol may be delisted
- AMRX: No data found for this date range, symbol may be delisted
- XPRCF: No data found for this date range, symbol may be delisted
- BRCGF: No data found for this date range, symbol may be delisted
- MTBMF: No data found for this date range, symbol may be delisted
- EVKG: No data found for this date range, symbol may be delisted
- ZPHYF: No data found for this date range, symbol may be delisted
- MTPR: No data found for this date range, symbol may be delisted
- AMTB: No data found for this date range, symbol may be delisted
- UGI: No data found for this date range, symbol may be delisted
- ETBI: No data found for this date range, symbol may be delisted
- SUVZ: No data found for this date range, symbol may be delisted
- LDNXF: No data found for this date range, symbol may be delisted
- GELGF: No data found for this date range, symbol may be delisted
- OHAQ: No data found for this date range, symbol may be delisted
- ZS: No data found for this date range, symbol may be delisted
- AMRPF: No data found for this date range, symbol may be delisted
- UBIA: No data found for this date range, symbol may be delisted
- VIZNF: No data found for this date range, symbol may be delisted
- GSLR: No data found for this date range, symbol may be delisted
- YNNHF: No data found for this date range, symbol may be delisted
- FAAS: No data found for this date range, symbol may be delisted
- RPFG: No data found for this date range, symbol may be delisted
- U: No data found for this date range, symbol may be delisted
- ORGJF: No data found for this date range, symbol may be delisted
- KIMTF: No data found for this date range, symbol may be delisted
- ISPC: No data found for this date range, symbol may be delisted
- GRMHF: No data found for this date range, symbol may be delisted
- FNNNF: No data found for this date range, symbol may be delisted
- ELEMF: No data found for this date range, symbol may be delisted
- TAHCF: No data found for this date range, symbol may be delisted
- PTMN: No data found for this date range, symbol may be delisted
- PPMT: No data found for this date range, symbol may be delisted
- IDXX: No data found for this date range, symbol may be delisted
- HNFD: No data found for this date range, symbol may be delisted
- MHYR: No data found for this date range, symbol may be delisted
- RJDG: No data found for this date range, symbol may be delisted
- RPHCF: No data found for this date range, symbol may be delisted
- GEOUF: No data found for this date range, symbol may be delisted
- CELJF: No data found for this date range, symbol may be delisted
- TACT: No data found for this date range, symbol may be delisted
- TOKCF: No data found for this date range, symbol may be delisted
- OERCF: No data found for this date range, symbol may be delisted
- PRPI: No data found for this date range, symbol may be delisted
- CRVO: No data found for this date range, symbol may be delisted
- ABLZF: No data found for this date range, symbol may be delisted
- AQFD: No data found for this date range, symbol may be delisted
- GARB: No data found for this date range, symbol may be delisted
- CBAT: No data found for this date range, symbol may be delisted
- ABZUF: No data found for this date range, symbol may be delisted
- GSISF: No data found for this date range, symbol may be delisted
- NBTRF: No data found for this date range, symbol may be delisted
- MSTH: No data found for this date range, symbol may be delisted
- FARM: No data found for this date range, symbol may be delisted
- LGYRF: No data found for this date range, symbol may be delisted
- PESAF: No data found for this date range, symbol may be delisted
- MHEYF: No data found for this date range, symbol may be delisted
- DTARF: No data found for this date range, symbol may be delisted
- DUTV: No data found for this date range, symbol may be delisted
- KTGDF: No data found for this date range, symbol may be delisted
- NPFC: No data found for this date range, symbol may be delisted
- SGTB: No data found for this date range, symbol may be delisted
- BKOR: No data found for this date range, symbol may be delisted
- RHKJF: No data found for this date range, symbol may be delisted
- MCZAF: No data found for this date range, symbol may be delisted
- PC: No data found for this date range, symbol may be delisted
- RRULS: No data found for this date range, symbol may be delisted
- BKSY: No data found for this date range, symbol may be delisted
- YNOYF: No data found for this date range, symbol may be delisted
- OMMSF: No data found for this date range, symbol may be delisted
- CNVIF: No data found for this date range, symbol may be delisted
- UG: No data found for this date range, symbol may be delisted
- ELBM: No data found for this date range, symbol may be delisted
- PMPG: No data found for this date range, symbol may be delisted
- BRRGF: No data found for this date range, symbol may be delisted
- SIMC: No data found for this date range, symbol may be delisted
- FITGF: No data found for this date range, symbol may be delisted
- SARMF: No data found for this date range, symbol may be delisted
- GNMSF: No data found for this date range, symbol may be delisted
- ALBHF: No data found for this date range, symbol may be delisted
- IPGDF: No data found for this date range, symbol may be delisted
- TZOO: No data found for this date range, symbol may be delisted
- PALAF: No data found for this date range, symbol may be delisted
- ALMXF: No data found for this date range, symbol may be delisted
- EONXF: No data found for this date range, symbol may be delisted
- MNKA: No data found for this date range, symbol may be delisted
- NFE: No data found for this date range, symbol may be delisted
- AUMBF: No data found for this date range, symbol may be delisted
- ADTX: No data found for this date range, symbol may be delisted
- KGKG: No data found for this date range, symbol may be delisted
- SRMX: No data found for this date range, symbol may be delisted
- GPAEF: No data found for this date range, symbol may be delisted
- MNST: No data found for this date range, symbol may be delisted
- SODE: No data found for this date range, symbol may be delisted
- SZENF: No data found for this date range, symbol may be delisted
- CDTAF: No data found for this date range, symbol may be delisted
- TTGGF: No data found for this date range, symbol may be delisted
- TIVC: No data found for this date range, symbol may be delisted
- GMHS: No data found for this date range, symbol may be delisted
- CDXS: No data found for this date range, symbol may be delisted
- KKOAF: No data found for this date range, symbol may be delisted
- MYPRF: No data found for this date range, symbol may be delisted
- RFHTS: No data found for this date range, symbol may be delisted
- CLAD: No data found for this date range, symbol may be delisted
- FNAUF: No data found for this date range, symbol may be delisted
- ELPQF: No data found for this date range, symbol may be delisted
- ICAD: No data found for this date range, symbol may be delisted
- QQQFF: No data found for this date range, symbol may be delisted
- ASDZF: No data found for this date range, symbol may be delisted
- ORAAF: No data found for this date range, symbol may be delisted
- PIUTQ: No data found for this date range, symbol may be delisted
- NNFTF: No data found for this date range, symbol may be delisted
- IVDA: No data found for this date range, symbol may be delisted
- MCBMF: No data found for this date range, symbol may be delisted
- JPAVF: No data found for this date range, symbol may be delisted
- EP: No data found for this date range, symbol may be delisted
- MPTI: No data found for this date range, symbol may be delisted
- AFYA: No data found for this date range, symbol may be delisted
- BFFAF: No data found for this date range, symbol may be delisted
- AHLES: No data found for this date range, symbol may be delisted
- MAYS: No data found for this date range, symbol may be delisted
- LGZDF: No data found for this date range, symbol may be delisted
- MDCN: No data found for this date range, symbol may be delisted
- SSABF: No data found for this date range, symbol may be delisted
- MSHXF: No data found for this date range, symbol may be delisted
- CAG: No data found for this date range, symbol may be delisted
- HNGCF: No data found for this date range, symbol may be delisted
- GNTY: No data found for this date range, symbol may be delisted
