
=== 涨幅榜前20名股票 ===

股票代码            公司名称           市值(亿)                板块                    昨天收盘          今天收盘     涨跌幅(%)
    APP                              Applovin Corp   1235.88                        Technology   2025-02-05 368.27   2025-02-06 380.63     3.36 
    LLY                           Eli Lilly and Co   7994.95                   Pharmaceuticals   2025-02-05 842.18   2025-02-06 870.37     3.35 
   NVDA                                NVIDIA Corp  30570.87                    Semiconductors   2025-02-05 124.83   2025-02-06 128.68     3.08 
    PPG                         PPG Industries Inc    261.16                         Chemicals   2025-02-05 112.57    2025-02-06 115.9     2.96 
  FCNCB   First Citizens BancShares Inc (Delaware)    300.25                           Banking   2025-02-05 1798.0  2025-02-06 1850.23     2.90 

=== 市值超过1000亿的涨幅榜前20名股票 ===

股票代码             公司名称             市值(亿)               板块                    昨天收盘            今天收盘      涨跌幅(%)
     PM   Philip Morris International Inc   2036.52                        Tobacco   2025-02-05 130.98   2025-02-06 145.32    10.95 
   PLTR         Palantir Technologies Inc   2309.00                     Technology   2025-02-05 101.36   2025-02-06 111.28     9.79 
   UBER             Uber Technologies Inc   1357.76                    Road & Rail    2025-02-05 64.48    2025-02-06 69.99     8.55 
      C                     Citigroup Inc   1491.54                        Banking    2025-02-05 79.46    2025-02-06 82.33     3.61 
    APP                     Applovin Corp   1235.88                     Technology   2025-02-05 368.27   2025-02-06 380.63     3.36 
    LLY                  Eli Lilly and Co   7994.95                Pharmaceuticals   2025-02-05 842.18   2025-02-06 870.37     3.35 
   NVDA                       NVIDIA Corp  30570.87                 Semiconductors   2025-02-05 124.83   2025-02-06 128.68     3.08 
    JPM               JPMorgan Chase & Co   7613.53                        Banking   2025-02-05 270.43    2025-02-06 276.9     2.39 
   MRVL            Marvell Technology Inc   1007.73                 Semiconductors   2025-02-05 116.46   2025-02-06 119.24     2.39 
  SBGSF             Schneider Electric SE   1304.03           Electrical Equipment    2025-02-05 242.8    2025-02-06 248.5     2.35 
     GS           Goldman Sachs Group Inc   2003.80             Financial Services   2025-02-05 645.45   2025-02-06 658.22     1.98 
   TMUS                   T-Mobile US Inc   2767.93              Telecommunication   2025-02-05 242.43   2025-02-06 247.17     1.96 
    MCD                   McDonald's Corp   2069.81  Hotels, Restaurants & Leisure   2025-02-05 288.83   2025-02-06 294.36     1.91 
   MELI                  MercadoLibre Inc   1001.37                         Retail  2025-02-05 1975.19   2025-02-06 2012.8     1.90 
    GEV                    Ge Vernova Inc   1014.21           Electrical Equipment   2025-02-05 367.93   2025-02-06 374.83     1.88 
    CAT                   Caterpillar Inc   1732.54                      Machinery   2025-02-05 358.85   2025-02-06 365.45     1.84 
   BKNG              Booking Holdings Inc   1555.34  Hotels, Restaurants & Leisure  2025-02-05 4699.39  2025-02-06 4779.71     1.71 
     BA                         Boeing Co   1363.94            Aerospace & Defense   2025-02-05 181.84    2025-02-06 184.8     1.63 
  CMCSA                      Comcast Corp   1283.28                          Media    2025-02-05 33.94    2025-02-06 34.47     1.56 
     MS                    Morgan Stanley   2238.21             Financial Services   2025-02-05 138.93   2025-02-06 141.08     1.55 
